ASVID	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Function	Function_Group	Nutrition	Notes
ASV2871	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2872	Eukaryota	Alveolata	Ciliophora	Spirotrichea	NA	NA	NA	NA	na	na	na	na
ASV2873	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2874	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Peronosporales	Pythium	NA	consumers	consumers	pathogen	na
ASV2875	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2876	Eukaryota	Alveolata	Ciliophora	Nassophorea	Nassophorea_X	Nassulida	Nassulida_X	Nassulida_X_sp.	consumers	consumers	omnivore	filament_feeders
ASV2878	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV288	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Hymenostomatia	Ophryoglenida	NA	NA	animal_parasite	symbionts	animal_parasite	fish_parasite
ASV2880	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2881	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichales_X	Trichosarcina	Trichosarcina_polymorpha	phototrophic	phototrophic	phototrophic	na
ASV2882	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2883	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2885	Eukaryota	Alveolata	Ciliophora	NA	NA	NA	NA	NA	na	na	na	na
ASV2886	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV2887	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-E	NA	NA	mixotrophic	phototrophic	mixotrophic	na
ASV2888	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	NA	NA	consumers	consumers	omnivore	omnivore
ASV2889	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV289	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Peronosporales	Pythium	NA	consumers	consumers	pathogen	na
ASV2890	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Prodesmodora	Prodesmodora_sp.	nematodes	na	na	na
ASV2891	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2892	Eukaryota	Alveolata	Ciliophora	Prostomatea_3	Prostomatea_3_X	Holophryidae	Prorodon	Prorodon_teres	consumers	consumers	eukaryvore	eukaryvore
ASV2893	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2894	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2895	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2896	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	NA	NA	consumers	consumers	bacterivore	na
ASV2898	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2899	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV29	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	NA	NA	nematodes	na	na	na
ASV290	Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	NA	NA	na	na	na	na
ASV2900	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2901	Eukaryota	Stramenopiles	Ochrophyta	Synurophyceae	Synurales	Synurales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2902	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2903	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	NA	NA	animal_parasite	symbionts	animal_parasite	na
ASV2904	Eukaryota	Amoebozoa	Lobosa	Discosea-Flabellinia	Dactylopodida	Paramoebidae	Korotnevella	Korotnevella_sp.	consumers	consumers	bacterivore	na
ASV2905	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2906	Eukaryota	Excavata	Discoba	Euglenida	NA	NA	NA	NA	na	na	na	na
ASV2907	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2908	Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Platyophryida	Platyophrya	NA	consumers	consumers	eukaryvore	eukaryvore
ASV2909	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Filosa-Thecofilosea_X	Mataza-lineage	Mataza-lineage_X	Mataza-lineage_X_sp.	consumers	consumers	bacterivore	na
ASV291	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	NA	NA	nematodes	na	na	na
ASV2910	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	Leidyana	NA	animal_parasite	symbionts	animal_parasite	na
ASV2911	Eukaryota	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_4	Chilodonellidae	Pseudochilodonopsis	NA	animal_parasite	symbionts	animal_parasite	animal_parasite
ASV2912	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV2913	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2914	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	NA	NA	NA	na	na	na	na
ASV2915	Eukaryota	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	NA	NA	rotifers	na	na	na
ASV2916	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Carteria	Carteria_eugametos	phototrophic	phototrophic	phototrophic	na
ASV2917	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2918	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2919	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	NA	NA	NA	NA	na	na	na	na
ASV292	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2920	Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pseudocercospora	Pseudocercospora_sp.	na	na	na	na
ASV2921	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2922	Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	NA	NA	na	na	na	na
ASV2923	Eukaryota	Excavata	Discoba	Euglenida	Aphagea	Distigmidae	Distigma	Distigma_elegans	consumers	consumers	osmotrophic	na
ASV2924	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA	copepods	na	na	na
ASV2925	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA	copepods	na	na	na
ASV2926	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Leptophryidae	NA	NA	consumers	consumers	eukaryvore	na
