	old_pond	new_ID	new_pond	alt_ID	alt_pond	region	habitat	water_body	biome	vegetation_type	latitude_scale	latitude	longitude	elevation	year	water_temp	water_pH	water_conductivity	ave_ann_temp	sample_year_temp	sample_month_temp	sample_year_ground_temp	average_ground_temp	pond_area	mat_colour	read_count
CBP6A	CBP6	CB6.1	CB6	CB_L3A	CBL3	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.243	-104.76	NA	2017	17.5	8.34	300	-13.229	-12.5	9.5	NA	NA	200x200	green	127549
CBP6B	CBP6	CB6.2	CB6	CB_L3B	CBL3	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.243	-104.76	NA	2017	17.6	8.38	303	-13.229	-12.5	9.5	NA	NA	200x200	green	92992
CBP6C	CBP6	CB6.3	CB6	CB_L3C	CBL3	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.243	-104.76	NA	2017	17.6	8.38	303	-13.229	-12.5	9.5	NA	NA	200x200	green	152619
CBP7A	CBP7	CB7.1	CB7	CB_P4A	CBP4	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.243	-104.76	NA	2017	12.2	8.84	1365	-13.229	-12.5	9.5	NA	NA	NA	orange_green	143788
CBP7B	CBP7	CB7.2	CB7	CB_P4B	CBP4	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.243	-104.76	NA	2017	11.7	8.9	1365	-13.229	-12.5	9.5	NA	NA	NA	orange_green	149974
CBP7C	CBP7	CB7.3	CB7	CB_P4C	CBP4	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.243	-104.76	NA	2017	11.8	8.9	1361	-13.229	-12.5	9.5	NA	NA	NA	orange_green	221682
CBP3A	CBP3	CB8.1	CB8	CB_P5A	CBP5	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.264	-104.754	NA	2017	15.5	8.49	552	-13.229	-12.5	9.5	NA	NA	NA	orange_green	124793
CBP3B	CBP3	CB8.2	CB8	CB_P5B	CBP5	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.264	-104.754	NA	2017	15.1	8.42	552	-13.229	-12.5	9.5	NA	NA	NA	orange_green	125173
CBP3C	CBP3	CB8.3	CB8	CB_P5C	CBP5	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.266	-104.754	NA	2017	15.5	8.44	549	-13.229	-12.5	9.5	NA	NA	NA	orange_green	170529
BYL33.1	BYL33	BY1.1	BY1	BY_P1A	BYP1	4_bylot_island	iwt_thermokarst	pond	tundra	polygon_terrace_tundra	70-74	73.15	-79.967	NA	2009	13.3	7.55	100	-13.176	-12.549	8.72	-10.574	-12.711	1x1.5	NA	131716
BYL33.2	BYL33	BY1.2	BY1	BY_P1B	BYP1	4_bylot_island	iwt_thermokarst	pond	tundra	polygon_terrace_tundra	70-74	73.15	-79.967	NA	2009	13.3	7.55	100	-13.176	-12.549	8.72	-10.574	-12.711	1x1.6	NA	105254
BYL33.3	BYL33	BY1.3	BY1	BY_P1C	BYP1	4_bylot_island	iwt_thermokarst	pond	tundra	polygon_terrace_tundra	70-74	73.15	-79.967	NA	2009	13.3	7.55	100	-13.176	-12.549	8.72	-10.574	-12.711	1x1.7	NA	142927
BYL48.1	BYL48	BY2.1	BY2	BY_P2A	BYP2	4_bylot_island	iwt_thermokarst	pond	tundra	polygon_terrace_tundra	70-74	73.15	-79.967	NA	2009	15.3	6.59	79	-13.176	-12.549	8.72	-10.574	-12.711	1x1.8	NA	102849
BYL48.2	BYL48	BY2.2	BY2	BY_P2B	BYP2	4_bylot_island	iwt_thermokarst	pond	tundra	polygon_terrace_tundra	70-74	73.15	-79.967	NA	2009	15.3	6.59	79	-13.176	-12.549	8.72	-10.574	-12.711	1x1.9	NA	80938
BYL48.3	BYL48	BY2.3	BY2	BY_P2C	BYP2	4_bylot_island	iwt_thermokarst	pond	tundra	polygon_terrace_tundra	70-74	73.15	-79.967	NA	2009	15.3	6.59	79	-13.176	-12.549	8.72	-10.574	-12.711	1x1.10	NA	102206
SP.1	SP	RE1.1	RE1	RE_P1A	RE_P1	5_resolute	pond	pond	polar_desert	polar_desert	70-74	74.763	-95.212	NA	2008	NA	8	560	-11.868	-10.67	4.2	NA	NA	NA	NA	132307
SP.2	SP	RE1.2	RE1	RE_P1B	RE_P1	5_resolute	pond	pond	polar_desert	polar_desert	70-74	74.763	-95.212	NA	2008	NA	8	560	-11.868	-10.67	4.2	NA	NA	NA	NA	184904
SP.3	SP	RE1.3	RE1	RE_P1C	RE_P1	5_resolute	pond	pond	polar_desert	polar_desert	70-74	74.763	-95.212	NA	2008	NA	8	560	-11.868	-10.67	4.2	NA	NA	NA	NA	161024
LP.1	LP	RE2.1	RE2	RE_P2A	RE_P2	5_resolute	large_pond	pond	polar_desert	polar_desert	70-74	74.79	-95.09	NA	2008	5.7	7.32	533	-11.868	-10.67	4.2	NA	NA	NA	NA	119900
LP.2	LP	RE2.2	RE2	RE_P2B	RE_P2	5_resolute	large_pond	pond	polar_desert	polar_desert	70-74	74.79	-95.09	NA	2008	7.3	7.34	500	-11.868	-10.67	4.2	NA	NA	NA	NA	93555
LP.3	LP	RE2.3	RE2	RE_P2C	RE_P2	5_resolute	large_pond	pond	polar_desert	polar_desert	70-74	74.79	-95.09	NA	2008	7.4	7.35	584	-11.868	-10.67	4.2	NA	NA	NA	NA	115112
Ant1	Ant	AP1	AP	AP_A	AP	6_ellesmere_island	large_pond	pond	polar_desert	polar_desert	80-84	83.233	-75.445	NA	2007	6	8.28	137	-18.309	-17.983	1.243	-13.598	-13.081	NA	orange_green	97516
Ant2	Ant	AP2	AP	AP_B	AP	6_ellesmere_island	large_pond	pond	polar_desert	polar_desert	80-84	83.233	-75.445	NA	2007	6	8.28	137	-18.309	-17.983	1.243	-13.598	-13.081	NA	NA	101979
Ant3	Ant	AP3	AP	AP_C	AP	6_ellesmere_island	large_pond	pond	polar_desert	polar_desert	80-84	83.233	-75.445	NA	2007	6	8.28	137	-18.309	-17.983	1.243	-13.598	-13.081	NA	NA	113352
WHIS1	WHIS	WHIS3	WHIS	WHIS_C	WHIS	7_ice_shelves	ice_shelf	meltwater_pond	ice_shelf	ice_shelf	80-84	83.333	-74.451	NA	2007	0.4	6.14	50.3	-16.797	-17.096	0.786	-15.816	-15.002	1x1	NA	58620
WH2	WH	WH1	WH	WHL_A	WHL	6_ellesmere_island	lake	lake	polar_desert	polar_desert	80-84	83.113	-74.214	NA	2007	1.8	7.45	83.7	-16.797	-17.096	0.786	-15.816	-15.002	NA	pink	111148
WH4	WH	WH2	WH	WHL_B	WHL	6_ellesmere_island	lake	lake	polar_desert	polar_desert	80-84	83.164	-74.18	NA	2007	2.1	8.02	127	-16.797	-17.096	0.786	-15.816	-15.002	NA	pink	96130
WH5	WH	WH3	WH	WHL_C	WHL	6_ellesmere_island	lake	lake	polar_desert	polar_desert	80-84	83.167	-74.345	NA	2007	1.6	8.15	129.2	-16.797	-17.096	0.786	-15.816	-15.002	NA	pink	113702
MKIS.2	MKIS	MKIS1	MKIS	MKIS_A	MKIS	7_ice_shelves	ice_shelf	meltwater_pond	ice_shelf	ice_shelf	80-84	83.266	-71.726	NA	2007	1.1	6.52	492	-16.797	-17.096	0.786	-15.816	-15.002	NA	brown_orange	133042
MKIS.3	MKIS	MKIS2	MKIS	MKIS_B	MKIS	7_ice_shelves	ice_shelf	meltwater_pond	ice_shelf	ice_shelf	80-84	83.266	-71.726	NA	2007	2.8	6.79	779	-16.797	-17.096	0.786	-15.816	-15.002	NA	brown_orange	9752
MKIS.1	MKIS	MKIS3	MKIS	MKIS_C	MKIS	7_ice_shelves	ice_shelf	meltwater_pond	ice_shelf	ice_shelf	80-84	83.266	-71.749	NA	2007	1.4	6.29	640	-16.797	-17.096	0.786	-15.816	-15.002	NA	brown	122994
WHIS3	WHIS	WHIS1	WHIS	WHIS_A	WHIS	7_ice_shelves	ice_shelf	meltwater_pond	ice_shelf	ice_shelf	80-84	83.33	-74.511	NA	2007	0.8	6.98	364	-16.797	-17.096	0.786	-15.816	-15.002	3x2	NA	82843
WHIS2	WHIS	WHIS2	WHIS	WHIS_B	WHIS	7_ice_shelves	ice_shelf	meltwater_pond	ice_shelf	ice_shelf	80-84	83.331	-74.496	NA	2007	1.5	6.24	740	-16.797	-17.096	0.786	-15.816	-15.002	1x1	brown	72840
																										
																										
