OTUID	region	latitude	longitude	year	water_temp	water_pH	conductivity	elevation	ave_ann_temp	sample_year_temp	sample_month_temp	sample_year_ground_temp	average_ground_temp	habitat	water_body	pond_area	mat_colour	biome	vegetation_type
BYL33.3	4_bylot_island	73.15	-79.967	2009	13.3	7.55	100	NA	-13.176	-12.549	8.72	-10.574	-12.711	iwt_thermokarst	pond	1x1.7	NA	tundra	polygon_terrace_tundra_wetlands
BYL48.1	4_bylot_island	73.15	-79.967	2009	15.3	6.59	79	NA	-13.176	-12.549	8.72	-10.574	-12.711	iwt_thermokarst	pond	1x1.8	NA	tundra	polygon_terrace_tundra_wetlands
BYL48.2	4_bylot_island	73.15	-79.967	2009	15.3	6.59	79	NA	-13.176	-12.549	8.72	-10.574	-12.711	iwt_thermokarst	pond	1x1.9	NA	tundra	polygon_terrace_tundra_wetlands
BYL48.3	4_bylot_island	73.15	-79.967	2009	15.3	6.59	79	NA	-13.176	-12.549	8.72	-10.574	-12.711	iwt_thermokarst	pond	1x1.10	NA	tundra	polygon_terrace_tundra_wetlands
SP.1	5_resolute	74.763	-95.212	2008	NA	8	560	NA	-11.868	-10.67	4.2	NA	NA	pond	pond	NA	NA	tundra	polar_desert
SP.2	5_resolute	74.763	-95.212	2008	NA	8	560	NA	-11.868	-10.67	4.2	NA	NA	pond	pond	NA	NA	tundra	polar_desert
SP.3	5_resolute	74.763	-95.212	2008	NA	8	560	NA	-11.868	-10.67	4.2	NA	NA	pond	pond	NA	NA	tundra	polar_desert
LP.1	5_resolute	74.79	-95.09	2008	5.7	7.32	533	NA	-11.868	-10.67	4.2	NA	NA	large_pond	pond	NA	NA	tundra	polar_desert
LP.2	5_resolute	74.79	-95.09	2008	7.3	7.34	500	NA	-11.868	-10.67	4.2	NA	NA	large_pond	pond	NA	NA	tundra	polar_desert
LP.3	5_resolute	74.79	-95.09	2008	7.4	7.35	584	NA	-11.868	-10.67	4.2	NA	NA	large_pond	pond	NA	NA	tundra	polar_desert
WH2	6_ellesmere_island	83.113	-74.214	2007	1.8	7.45	83.7	NA	-16.797	-17.096	0.786	-15.816	-15.002	lake	lake	NA	pink	upper_arctic	polar_desert
WH4	6_ellesmere_island	83.164	-74.18	2007	2.1	8.02	127	NA	-16.797	-17.096	0.786	-15.816	-15.002	lake	lake	NA	pink	upper_arctic	polar_desert
WH5	6_ellesmere_island	83.167	-74.345	2007	1.6	8.15	129.2	NA	-16.797	-17.096	0.786	-15.816	-15.002	lake	lake	NA	pink	upper_arctic	polar_desert
Ant1	6_ellesmere_island	83.233	-75.445	2007	6	8.28	137	NA	-18.309	-17.983	1.243	-13.598	-13.081	large_pond	pond	NA	orange_green	upper_arctic	polar_desert
Ant2	6_ellesmere_island	83.233	-75.445	2007	6	8.28	137	NA	-18.309	-17.983	1.243	-13.598	-13.081	large_pond	pond	NA	NA	upper_arctic	polar_desert
Ant3	6_ellesmere_island	83.233	-75.445	2007	6	8.28	137	NA	-18.309	-17.983	1.243	-13.598	-13.081	large_pond	pond	NA	NA	upper_arctic	polar_desert
MKIS.3	7_ice_shelves	83.266	-71.726	2007	2.8	6.79	779	NA	-16.797	-17.096	0.786	-15.816	-15.002	ice_shelf	meltwater_pond	NA	brown_orange	ice_shelf	ice_shelf
MKIS.2	7_ice_shelves	83.266	-71.726	2007	1.1	6.52	492	NA	-16.797	-17.096	0.786	-15.816	-15.002	ice_shelf	meltwater_pond	NA	brown_orange	ice_shelf	ice_shelf
MKIS.1	7_ice_shelves	83.266	-71.749	2007	1.4	6.29	640	NA	-16.797	-17.096	0.786	-15.816	-15.002	ice_shelf	meltwater_pond	NA	brown	ice_shelf	ice_shelf
WHIS3	7_ice_shelves	83.33	-74.511	2007	0.8	6.98	364	NA	-16.797	-17.096	0.786	-15.816	-15.002	ice_shelf	meltwater_pond	3x2	NA	ice_shelf	ice_shelf
WHIS2	7_ice_shelves	83.331	-74.496	2007	1.5	6.24	740	NA	-16.797	-17.096	0.786	-15.816	-15.002	ice_shelf	meltwater_pond	1x1	brown	ice_shelf	ice_shelf
WHIS1	7_ice_shelves	83.333	-74.451	2007	0.4	6.14	50.3	NA	-16.797	-17.096	0.786	-15.816	-15.002	ice_shelf	meltwater_pond	1x1	NA	ice_shelf	ice_shelf
